riskCategory,neighborhood,address,city,state,year,stories,retrofitLevel,occupancyType,occupantLoad,confirmationSource,FID,x,y
M,Ballard,5227 Leary Ave NW,Seattle,Washington,1911,5,No visible,Mixed,2,Field,50,-122.381669795809,47.6662157399397
H,Capitol Hill,1522 12th Ave,Seattle,Washington,1922,1,Sub Alt,P,3,GSV,51,-122.316799262818,47.6147999737983
M,Ballard,5229 Ballard Ave NW,Seattle,Washington,1900,2,Sub Alt,P,2,Field,52,-122.38289942055,47.6660956909441
M,Capitol Hill,1525 Boylston Ave,Seattle,Washington,1919,1,Sub Alt,R,2,PR,53,-122.323440398119,47.6147894842043
M,Ballard,5232 Ballard Ave NW,Seattle,Washington,1903,3,Permit,C,3,PR,54,-122.383028793222,47.6662926641235
M,Capitol Hill,1531 Belmont Ave,Seattle,Washington,1910,4,Permit,R,2,Field,55,-122.32449053228,47.6150587194777
M,Ballard,5233 Ballard Ave NW,Seattle,Washington,1900,1,No visible,C,2,Field,56,-122.383060262105,47.6662355538838
H,Capitol Hill,1531 Melrose Ave,Seattle,Washington,1912,1,Sub Alt,P,3,Field,57,-122.327949796217,47.6146309731153
M,Capitol Hill,1550 E Olive Way,Seattle,Washington,1924,1,No visible,C,3,GSV,58,-122.325635073088,47.6185611078782
M,Ballard,5239 Ballard Ave NW,Seattle,Washington,1900,1,Sub Alt,C,2,PR,59,-122.383119703627,47.6662856712955
M,Ballard,5242 Shilshole Ave NW,Seattle,Washington,1926,1,No visible,I,2,Field,60,-122.383578918807,47.6655735383045
M,Ballard,5300 Ballard Ave NW,Seattle,Washington,1902,2,No visible,R,2,Field,61,-122.383288703681,47.6665036233697
H,Ballard,5307 Ballard Ave NW,Seattle,Washington,1927,1,Sub Alt,P,3,PR,62,-122.383429731994,47.6665455819631
M,Ballard,5310 Ballard Ave NW,Seattle,Washington,1900,2,Sub Alt,P,2,Field,63,-122.383508987657,47.6667029271439
M,Ballard,5313 Ballard Ave NW,Seattle,Washington,1900,1,Sub Alt,C,2,PR,64,-122.383709456594,47.6667856794236
M,Ballard,5323 Ballard Ave NW,Seattle,Washington,1901,3,Sub Alt,C/O,3,Ph,65,-122.38390992643,47.6669558454154
M,Ballard,5333 Ballard Ave NW,Seattle,Washington,1904,1,No visible,C,2,GSV,66,-122.384119719879,47.6671353350777
M,Capitol Hill,1611 Boylston Ave,Seattle,Washington,1923,1,No visible,C,2,SIM,67,-122.323440398119,47.6156589621827
M,Ballard,5335 Ballard Ave NW,Seattle,Washington,1909,2,Permit,C/R,2,PR,68,-122.384219954797,47.6672157563756
M,Ballard,5337 Ballard Ave NW,Seattle,Washington,1900,1,No visible,C,2,Ph,69,-122.384270071807,47.6672658734512
M,Capitol Hill,1617 Boylston Ave,Seattle,Washington,1921,2,No visible,C/O,2,GSV,70,-122.323449721734,47.6158291282602
M,Capitol Hill,1617 Yale Ave,Seattle,Washington,1925,6,Permit,R,3,GSV,71,-122.328098983029,47.6158955628156
M,Ballard,5344 Ballard Ave NW,Seattle,Washington,1900,1,No visible,C,2,WC,72,-122.384408768992,47.6674628464493
M,Capitol Hill,1619 Belmont Ave,Seattle,Washington,1928,3,No visible,R,2,GSV,73,-122.324499855894,47.6158384525622
M,Ballard,5345 Ballard Ave NW,Seattle,Washington,1901,2,No visible,C/R,2,Field,74,-122.384469376527,47.6674255497724
M,Capitol Hill,1620 13th Ave,Seattle,Washington,1908,3,No visible,R,2,GSV,75,-122.31550903144,47.615939852876
M,Ballard,5348 Ballard Ave NW,Seattle,Washington,1900,2,No visible,C/O,3,Field,76,-122.38452881805,47.6675630812877
