key,lat,lng
Central Valley|Greenacres Middle,47.6579252,-117.1702141
Central Valley|Horizon Middle,47.6211047,-117.2376272
Central Valley|Liberty Lake Elementary,47.6669531,-117.0878892
Central Valley|McDonald Elementary,47.6429583,-117.2293984
Central Valley|North Pines Middle,47.6634484,-117.2402287
Central Valley|Opportunity Elementary,47.6466756,-117.2475073
Central Valley|Ponderosa Elementary,47.6192212,-117.2692456
Central Valley|Progress Elementary,47.6636732,-117.201454
Central Valley|South Pines Elementary,47.6354805,-117.2428762
Central Valley|Spokane Valley Tech,47.655936,-117.260469
Central Valley|Summit,47.6512898,-117.2301332
Central Valley|Sunrise Elementary,47.6356976,-117.2089739
Central Valley|University Elementary,47.6419488,-117.2608506
Central Valley|University High,47.6272693,-117.2362744
Centralia|Centralia High,46.7265085,-123.0017764
Centralia|Centralia Indoor Pool,46.7261354,-122.9815466
Centralia|Centralia Middle,46.7262,-122.9826
Centralia|Centralia School District Stadium,46.7239308,-122.9860017
Centralia|District Administrative Office,46.7269048,-122.9816301
Centralia|Edison Elementary,46.721963,-122.95952
Centralia|Fords Prairie Elementary,46.735259,-122.98849
Centralia|Jefferson Lincoln Elementary,46.705871,-122.96368
Centralia|Maintenance & Operations Facility,46.714997,-122.9528209
Centralia|Oakview Elementary,46.742862,-122.95185
Centralia|Transportation Maintenance Center,46.712787,-122.96962
Centralia|Washington Elementary,46.708613,-122.95353
Chehalis|Cascade Elementary,46.6592,-122.9634
Chehalis|Chehalis Middle,46.643393,-122.94307
Chehalis|Maintenance Shops,46.658001,-122.966414
Chehalis|Office Building,46.649068,-122.957531
Chehalis|Olympic Elementary,46.642404,-122.93962
Chehalis|R.E. Bennett Elementary,46.659719,-122.96235
Chehalis|Student Support,46.649068,-122.957531
Chehalis|Transportation,46.657044,-122.96495
Chehalis|W. F. West High,46.6496,-122.9489
Cheney|Betz Elementary,47.4959491,-117.5776186
Cheney|Cheney High,47.497614,-117.5764988
Cheney|Cheney Middle,47.5068521,-117.578926
Cheney|Salnave Elementary,47.481318,-117.5964009
Cheney|Snowdon Elementary,47.5945821,-117.5342549
Cheney|Sunset Elementary,47.6449629,-117.588704
Cheney|Westwood Middle,47.59695,-117.4871818
Cheney|Windsor Elementary,47.5949254,-117.4906155
Chewelah|Gess Elementary,48.281836,-117.71183
Chewelah|Jenkins Middle,48.281147,-117.71649
Chewelah|Jenkins Senior High,48.28023,-117.70793
Chimacum|Chimacum Creek Primary,48.0329038,-122.7743056
Chimacum|Chimacum Elementary,48.0119315,-122.7769934
Chimacum|Chimacum High,48.012446,-122.7782046
Chimacum|Chimacum Middle,48.0115632,-122.7776243
Clarkston|Charles Francis Adams High,46.4107916,-117.0428447
Clarkston|Educational Opportunity Center,46.4112,-117.0578
Clarkston|Grantham Elementary,46.417229,-117.05696
Clarkston|Heights Elementary,46.392046,-117.0784
Clarkston|Highland Elementary,46.404,-117.06689
Clarkston|Lincoln Middle,46.391499,-117.08002
Clarkston|Parkway Elementary,46.408218,-117.043175
Cle Elum-Roslyn|Cle Elum Roslyn Elementary / Middle school,47.204854,-120.97475
Cle Elum-Roslyn|Cle Elum Roslyn High,47.203023,-120.9668
Cle Elum-Roslyn|Swiftwater Learning Center,47.22415,-120.99718
Clover Park|Beachwood Elementary,47.12089872,-122.5876038
Clover Park|Carter Lake Elementary,47.1286272,-122.5220577
Clover Park|Clover Park Early Learning Program,47.1652445,-122.4914893
Clover Park|Clover Park High,47.15682,-122.51913
Clover Park|Custer Elementary,47.180577,-122.5403955
Clover Park|Dower Elementary,47.18592,-122.5229
Clover Park|Evergreen Elementary,47.11137643,-122.5872462
Clover Park|Evergreen Elementary School (old),47.114356,-122.56037
Clover Park|Four Heroes / Harrison Prep,47.14721,-122.55336
Clover Park|Hillside Elementary,47.104468,-122.57103
Clover Park|Hudtloff Middle,47.183447,-122.53832
Clover Park|Idlewild Elementary,47.159033,-122.54542
Clover Park|Lake City Elementary School ,47.147308,-122.553671
Clover Park|Lake Louise Elementary,47.157116,-122.56943
Clover Park|Lakes High,47.162588,-122.57529
Clover Park|Lakeview Elementary,47.161577,-122.49885
Clover Park|Lochburn Middle,47.178799,-122.51129
Clover Park|Mann Middle,47.153244,-122.56663
Clover Park|Meriwether Elementary,47.1358,-122.5906
Clover Park|Oakbrook Elementary,47.186067,-122.54862
Clover Park|Park Lodge Elementary,47.16598,-122.52125
Clover Park|Rainier Elementary,47.0844093,-122.6040629
Clover Park|Tillicum Elementary,47.124877,-122.55385
Clover Park|Tyee Park Elementary,47.149109,-122.50853
Clover Park|Woodbrook Middle,47.121826,-122.53859
Colfax|Colfax High,46.892,-117.3606
Colfax|Leonard M Jennings Elementary,46.8945091,-117.3608057
College Place|Davis Elementary,46.04849,-118.3865
College Place|John Sager Middle School - College Place High,46.030103,-118.39171
College Place|Meadow Brook Intermediate School - John Sager Middle,46.0303,-118.3859
Colton|Colton,46.5664,-117.1308
Columbia (Stevens)|Columbia High And Elementary,48.1197,-118.2027
Columbia (Walla Walla)|Columbia Elementary,46.20175,-118.99479
Columbia (Walla Walla)|Columbia High,46.20175,-118.99479
Columbia (Walla Walla)|Columbia Middle,46.20175,-118.99479
Colville|Colville Junior High,48.534648,-117.8993
Colville|Colville Senior High,48.54705,-117.87692
Colville|Fort Colville Elementary,48.5342,-117.8913
Colville|Hofstetter Elementary,48.550098,-117.89663
Colville|Panorama,48.543024,-117.896803
Concrete|Administration Building,48.530568,-121.75355
Concrete|Concrete High,48.5327198,-121.7594578
Concrete|Concrete K-6,48.5353,-121.758
Conway|Conway,48.3405192,-122.3184749
Cosmopolis|Cosmopolis Elementary,46.952781,-123.77177
Cosmopolis|Transportation Garage,46.95554348,-123.7722894
Coulee-Hartline|Almira Coulee Hartline High,47.614092,-119.29378
Coulee-Hartline|Coulee City Elementary,47.614015,-119.293061
Coupeville|Coupeville Elementary,48.211585,-122.68806
Coupeville|Coupeville High,48.2066344,-122.6850198
Coupeville|Coupeville Middle,48.2066919,-122.6849479
Crescent|Crescent,48.136,-123.746
Creston|Creston Elementary,47.7548344,-118.5200461
Creston|Creston Junior Senior High,47.7545893,-118.5201668
Curlew|Curlew Elementary and High,48.8743343,-118.6048123
Cusick|Cusick Junior Senior High,48.3371,-117.299
Damman|Damman Elementary,46.9705,-120.57055
Darrington|Darrington Elementary,48.2475,-121.6012
Darrington|Darrington Middle,48.2475,-121.6012
Darrington|Darrington Senior High,48.2475,-121.6012
Davenport|Davenport Elementary & Middle,47.6488378,-118.1498068
Davenport|Davenport Senior High,47.6515,-118.1505
Dayton|Dayton High,46.316073,-117.972817
Dayton|Dayton K-8,46.31714,-117.97511
Deer Park|Arcadia Elementary,47.950331,-117.45859
Deer Park|Bus Garage,47.961869,-117.484448
Deer Park|Clayton Home Link,47.99587,-117.56616
Deer Park|Deer Park Early Learning Center,47.950529,-117.455447
Deer Park|Deer Park Elementary,47.949969,-117.45395
Deer Park|Deer Park High,47.946869,-117.45625
Deer Park|Deer Park Middle,47.950256,-117.46818
Deer Park|Deer Park SD Admin / Home Link,47.958765,-117.47597
Deer Park|Maintenance / Food Service,47.950113,-117.466923
Dieringer|Dieringer Heights Elementary,47.227392,-122.13696
Dieringer|Lake Tapps Elementary,47.245718,-122.19367
Dieringer|North Tapps Middle,47.248751,-122.16117
Dixie|Dixie Elementary,46.1413,-118.1507
East Valley (Spokane)|Continuous Curriculum,47.700181,-117.17789
East Valley (Spokane)|East Farms Elementary,47.707423,-117.05428
East Valley (Spokane)|East Valley High,47.702795,-117.19448
East Valley (Spokane)|East Valley Middle,47.701998,-117.202
East Valley (Spokane)|Mountain View Middle,47.711563,-117.05374
East Valley (Spokane)|Otis Orchards Elementary,47.6994,-117.1099
East Valley (Spokane)|Trent Elementary,47.686991,-117.24058
East Valley (Spokane)|Trentwood Elementary,47.7012,-117.208
East Valley (Spokane)|Washington Academy of Arts and Technology,47.68412,-117.23854
East Valley (Yakima)|East Valley Central Middle,46.572516,-120.40485
East Valley (Yakima)|East Valley Elementary,46.575,-120.403
East Valley (Yakima)|East Valley High,46.574903,-120.40556
East Valley (Yakima)|Moxee Elementary,46.550351,-120.38202
East Valley (Yakima)|Terrace Heights Elementary,46.607763,-120.4421
Eastmont|Cascade Elementary,47.443603,-120.29327
Eastmont|Clovis Point Intermediate,47.39982,-120.2563
Eastmont|Eastmont Junior High,47.418051,-120.27319
Eastmont|Eastmont Senior High,47.411171,-120.27282
Eastmont|Grant Elementary,47.403378,-120.26374
Eastmont|Kenroy Elementary,47.414025,-120.26474
Eastmont|Robert E Lee Elementary,47.427107,-120.29176
Eastmont|Rock Island Elementary,47.37747,-120.15521
Eastmont|Sterling Intermediate,47.414443,-120.26996
Easton|Easton,47.238,-121.1788
Eatonville|Columbia Crest A-STEM K-8,46.7541369,-122.1101089
Eatonville|Eatonville Elementary,46.8702086,-122.264051
Eatonville|Eatonville High,46.870841,-122.2674815
Eatonville|Eatonville Middle,46.8684971,-122.2633941
Eatonville|Weyerhaeuser Elementary,46.9248948,-122.3494222
Edmonds|Alderwood Middle School (old),47.8161,-122.2729
Edmonds|Beverly Elementary,47.847424,-122.30497
Edmonds|Brier Elementary,47.788931,-122.28218
Edmonds|Brier Terrace Middle,47.797219,-122.2745
Edmonds|Cedar Valley Community,47.825118,-122.30854
Edmonds|Cedar Way Elementary,47.796684,-122.28788
Edmonds|Chase Lake Elementary,47.803238,-122.34531
Edmonds|College Place Elementary,47.813561,-122.3344
Edmonds|College Place Middle,47.8112,-122.3343
